Price,Area,Location,Bedrooms,Resale,Gymnasium,Lift,Parking,Maintenance,Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas_Conn,Jogging Track,Swimming Pool
230000,500,Naigaon East,1,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No
230000,480,Dombivli (West),1,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
230000,690,Ambernath East,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
230000,445,Taloja,1,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
230000,575,Virar West,1,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
230000,500,Naigaon East,1,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No
230000,254,Mira Road East,1,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
230000,650,Ambernath East,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No
230000,450,Vasai east,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
230000,225,Malad West,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
230000,350,Vasai West,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
230000,550,Nala Sopara,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
230000,550,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
230000,450,Kanjurmarg East,1,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No
230000,425,Bandra East,1,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No
230000,510,Naigaon East,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
230000,510,Naigaon East,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
230000,575,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
230000,578,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
230000,500,Naigaon East,1,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No
230000,820,Boisar,2,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes
230000,820,Boisar,2,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes
230000,740,Boisar,2,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
230000,590,Nala Sopara,1,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No
230000,585,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
230000,560,Nalasopara West,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
230000,585,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
230000,560,Nala Sopara,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
230000,560,Nala Sopara,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
230000,590,Nalasopara West,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
230000,640,Virar,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
